model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,ensemble_size,num_hidden_layers,units,pickle_file
de,scaled_branin,ei,20,500,1,-1.047393,-1.046594697,25,53.914,83.307,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed1.pkl
de,scaled_branin,ei,20,500,2,-1.047393,-1.046932196,174,340.405,1240.277,7,5,50,de_ei_scaled_branin_L5_n50_es7_seed2.pkl
de,shekel4,ei,40,500,12,-10.5363,-5.098276626,500,555.098,9206.095,7,5,50,de_ei_shekel4_L5_n50_es7_seed12.pkl
de,shekel4,ei,40,500,9,-10.5363,-9.700973955,500,534.299,10894.179,7,5,50,de_ei_shekel4_L5_n50_es7_seed9.pkl
de,shekel4,ei,40,500,3,-10.5363,-10.46747426,500,723.847,10856.209,7,5,50,de_ei_shekel4_L5_n50_es7_seed3.pkl
de,shekel4,ei,40,500,8,-10.5363,-9.460512702,500,644.609,11047.045,7,5,50,de_ei_shekel4_L5_n50_es7_seed8.pkl
de,shekel4,ei,40,500,0,-10.5363,-10.36834733,500,784.401,11394.648,7,5,50,de_ei_shekel4_L5_n50_es7_seed0.pkl
de,shekel4,ei,40,500,2,-10.5363,-10.48656077,500,550.698,11734.077,7,5,50,de_ei_shekel4_L5_n50_es7_seed2.pkl
de,shekel4,ei,40,500,7,-10.5363,-10.40946957,500,598.716,11751.477,7,5,50,de_ei_shekel4_L5_n50_es7_seed7.pkl
de,shekel4,ei,40,500,4,-10.5363,-10.27639158,500,715.003,11931.334,7,5,50,de_ei_shekel4_L5_n50_es7_seed4.pkl
de,shekel4,ei,40,500,1,-10.5363,-10.18353923,500,785.081,11883.173,7,5,50,de_ei_shekel4_L5_n50_es7_seed1.pkl
de,shekel4,ei,40,500,5,-10.5363,-10.29548366,500,829.937,11892.36,7,5,50,de_ei_shekel4_L5_n50_es7_seed5.pkl
de,eggho2,ei,20,500,4,-959.6407,-959.5059933,32,76.093,238.018,7,5,50,de_ei_eggho2_L5_n50_es7_seed4.pkl
de,eggho2,ei,20,500,1,-959.6407,-958.7352738,104,240.222,671.152,7,5,50,de_ei_eggho2_L5_n50_es7_seed1.pkl
de,eggho2,ei,20,500,9,-959.6407,-959.6406625,72,159.65,497.872,7,5,50,de_ei_eggho2_L5_n50_es7_seed9.pkl
de,shekel4,ei,40,500,6,-10.5363,-10.49915792,500,944.316,12519.338,7,5,50,de_ei_shekel4_L5_n50_es7_seed6.pkl
de,eggho2,ei,20,500,2,-959.6407,-914.524478,500,1099.481,7508.232,7,5,50,de_ei_eggho2_L5_n50_es7_seed2.pkl
de,eggho2,ei,20,500,5,-959.6407,-820.1270687,500,1198.264,7285.926,7,5,50,de_ei_eggho2_L5_n50_es7_seed5.pkl
de,eggho2,ei,20,500,3,-959.6407,-858.6012044,500,1169.168,7345.071,7,5,50,de_ei_eggho2_L5_n50_es7_seed3.pkl
de,shekel4,ts,40,500,0,-10.5363,-8.674681205,500,263.64,35669.687,7,5,50,de_ts_shekel4_L5_n50_es7_seed0.pkl
de,shekel4,ts,40,500,3,-10.5363,-8.460906382,500,258.464,36177.171,7,5,50,de_ts_shekel4_L5_n50_es7_seed3.pkl
de,shekel4,ts,40,500,5,-10.5363,-8.077553069,500,261.987,36452.701,7,5,50,de_ts_shekel4_L5_n50_es7_seed5.pkl
de,shekel4,ts,40,500,4,-10.5363,-7.28525843,500,264.569,36589.742,7,5,50,de_ts_shekel4_L5_n50_es7_seed4.pkl
de,shekel4,ts,40,500,1,-10.5363,-8.199310079,500,262.201,37019.98,7,5,50,de_ts_shekel4_L5_n50_es7_seed1.pkl
de,shekel4,ts,40,500,2,-10.5363,-7.884781528,500,263.22,38946.169,7,5,50,de_ts_shekel4_L5_n50_es7_seed2.pkl
de,eggho2,ts,20,500,6,-959.6407,-951.8647627,500,219.473,27667.582,7,5,50,de_ts_eggho2_L5_n50_es7_seed6.pkl
de,eggho2,ts,20,500,0,-959.6407,-909.1066106,500,216.888,29263.27,7,5,50,de_ts_eggho2_L5_n50_es7_seed0.pkl
de,eggho2,ts,20,500,2,-959.6407,-949.7272265,500,215.47,28960.658,7,5,50,de_ts_eggho2_L5_n50_es7_seed2.pkl
de,eggho2,ts,20,500,4,-959.6407,-950.8024607,500,218.937,28845.708,7,5,50,de_ts_eggho2_L5_n50_es7_seed4.pkl
