model,objective,acquisition,num_initial_points,num_steps,seed,true_min,found_minimum,steps_taken,acquisition_runtime,optimize_runtime,num_hidden_layers,units,rate,num_passes,lr,pickle_file
mc,scaled_branin,ts,20,500,15,-1.047393,-1.04722776,37,8.962,95.925,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed15.pkl
mc,scaled_branin,ts,20,500,18,-1.047393,-1.047020813,59,12.866,218.766,5,100,0.1,50,0.001,mc_ts_scaled_branin_L5_n100_dr1e1_lr1e3_seed18.pkl
mc,michal2,ts,20,500,14,-1.8013034,-1.80081145,21,5.156,52.74,5,100,0.1,50,0.001,mc_ts_michal2_L5_n100_dr1e1_lr1e3_seed14.pkl
mc,goldstein2,ts,20,500,5,-3.12913,-3.128311374,9,2.648,19.525,5,100,0.1,50,0.001,mc_ts_goldstein2_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,hartmann3,ei,30,500,5,-3.86278,-3.862204896,42,360.425,84.61,5,100,0.1,50,0.001,mc_ei_hartmann3_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,goldstein2,ei,20,500,16,-3.12913,-1.755906361,500,3486.118,3278.194,5,100,0.1,50,0.001,mc_ei_goldstein2_L5_n100_dr1e1_lr1e3_seed16.pkl
mc,goldstein2,ei,20,500,14,-3.12913,-1.755964496,500,3589.37,3319.75,5,100,0.1,50,0.001,mc_ei_goldstein2_L5_n100_dr1e1_lr1e3_seed14.pkl
mc,hartmann3,ts,30,500,2,-3.86278,-3.861874888,76,23.431,400.966,5,100,0.1,50,0.001,mc_ts_hartmann3_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,hartmann3,ts,30,500,0,-3.86278,-3.862644123,155,47.392,1377.892,5,100,0.1,50,0.001,mc_ts_hartmann3_L5_n100_dr1e1_lr1e3_seed0.pkl
mc,hartmann3,ts,30,500,6,-3.86278,-3.862237815,73,22.711,347.249,5,100,0.1,50,0.001,mc_ts_hartmann3_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,hartmann3,ei,30,500,10,-3.86278,-3.862502951,499,3900.315,3621.37,5,100,0.1,50,0.001,mc_ei_hartmann3_L5_n100_dr1e1_lr1e3_seed10.pkl
mc,hartmann3,ts,30,500,12,-3.86278,-3.862189947,157,46.991,1467.998,5,100,0.1,50,0.001,mc_ts_hartmann3_L5_n100_dr1e1_lr1e3_seed12.pkl
mc,hartmann3,ts,30,500,13,-3.86278,-3.862584601,176,51.57,1695.119,5,100,0.1,50,0.001,mc_ts_hartmann3_L5_n100_dr1e1_lr1e3_seed13.pkl
mc,hartmann3,ei,30,500,13,-3.86278,-3.087960649,500,3814.244,3658.305,5,100,0.1,50,0.001,mc_ei_hartmann3_L5_n100_dr1e1_lr1e3_seed13.pkl
mc,hartmann3,ts,30,500,15,-3.86278,-3.862698591,188,56.441,1837.292,5,100,0.1,50,0.001,mc_ts_hartmann3_L5_n100_dr1e1_lr1e3_seed15.pkl
mc,shekel4,ei,40,500,2,-10.5363,-4.065556901,500,3692.354,3955.451,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed2.pkl
mc,shekel4,ei,40,500,1,-10.5363,-2.865989845,500,3896.434,4000.716,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed1.pkl
mc,shekel4,ei,40,500,0,-10.5363,-4.018832065,500,4353.84,3967.811,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed0.pkl
mc,shekel4,ei,40,500,4,-10.5363,-2.865585925,500,4056.63,3843.573,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed4.pkl
mc,shekel4,ei,40,500,5,-10.5363,-4.061571505,500,3776.06,4128.973,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed5.pkl
mc,shekel4,ei,40,500,6,-10.5363,-3.625108825,500,4455.166,4157.7,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed6.pkl
mc,shekel4,ei,40,500,9,-10.5363,-4.058650552,500,3497.47,3800.398,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed9.pkl
mc,shekel4,ei,40,500,11,-10.5363,-4.067583473,500,3765.869,3951.964,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed11.pkl
mc,shekel4,ei,40,500,10,-10.5363,-2.782526703,500,3928.791,3978.052,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed10.pkl
mc,shekel4,ei,40,500,8,-10.5363,-4.020781569,500,4352.671,3948.6,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed8.pkl
mc,shekel4,ei,40,500,14,-10.5363,-4.059681881,500,3850.609,4032.501,5,100,0.1,50,0.001,mc_ei_shekel4_L5_n100_dr1e1_lr1e3_seed14.pkl
